品牌,能效等级,SSD,厚度,机身材质,屏幕尺寸,刷新率,覆盖对数
MI,三级,256GB+1TB,20.0mm以上,含碳纤维,16.0-16.9英寸,144Hz,1
hp,一级,3TB,20.0mm以上,含碳纤维,14.0-14.9英寸,120Hz,1
ThinkPad,二级,3TB,15.0mm及以下,复合材质,16.0-16.9英寸,90Hz,1
hp,二级,128GB,20.0mm以上,金属,15.0-15.9英寸,90Hz,1
MI,二级,3TB,15.0mm及以下,金属+复合材质,16.0-16.9英寸,144Hz,1
ThinkPad,二级,3TB,15.1-18.0mm,金属,15.0-15.9英寸,165Hz,1
ThinkPad,一级,512GB+2TB,15.0mm及以下,金属,13.0英寸以下,60Hz,1
Apple,二级,128GB,15.0mm及以下,含碳纤维,13.0英寸以下,120Hz,2
Lenovo,二级,512GB+2TB,15.0mm及以下,复合材质,16.0-16.9英寸,120Hz,1
ASUS,一级,3TB,18.1-20.0mm,含碳纤维,13.0-13.9英寸,60Hz,1
